,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15
88,35.0,36.0,36.0,36.0,36.0,35.0,35.0,34.0,36.0,33.0,31.0,37.0,36.0,35.0,38.0,35.0
89,35.0,36.0,37.0,37.0,37.0,35.0,36.0,34.0,36.0,34.0,31.0,37.0,36.0,36.0,39.0,35.0
90,35.0,37.0,37.0,37.0,37.0,35.0,36.0,34.0,36.0,34.0,32.0,38.0,36.0,36.0,39.0,36.0
91,36.0,37.0,37.0,37.0,38.0,36.0,36.0,34.0,36.0,35.0,32.0,38.0,37.0,36.0,40.0,36.0
92,37.0,37.0,38.0,37.0,38.0,36.0,37.0,35.0,37.0,35.0,32.0,39.0,37.0,37.0,40.0,37.0
93,37.0,38.0,38.0,38.0,38.0,37.0,38.0,35.0,38.0,35.0,33.0,39.0,37.0,37.0,40.0,37.0
94,37.0,38.0,38.0,38.0,39.0,37.0,38.0,35.0,38.0,36.0,33.0,40.0,38.0,38.0,41.0,38.0
95,37.0,38.0,39.0,38.0,39.0,38.0,38.0,35.0,39.0,36.0,33.0,40.0,38.0,38.0,41.0,38.0
96,38.0,39.0,39.0,39.0,40.0,38.0,38.0,35.0,39.0,37.0,33.0,40.0,39.0,38.0,41.0,39.0
97,38.0,39.0,40.0,39.0,41.0,38.0,38.0,36.0,40.0,37.0,34.0,41.0,39.0,39.0,41.0,40.0
98,39.0,39.0,40.0,39.0,41.0,39.0,39.0,36.0,40.0,37.0,34.0,41.0,39.0,39.0,42.0,40.0
99,39.0,39.0,41.0,40.0,42.0,39.0,39.0,37.0,41.0,37.0,35.0,41.0,39.0,39.0,42.0,40.0
100,40.0,40.0,42.0,40.0,42.0,39.0,40.0,37.0,41.0,38.0,35.0,41.0,40.0,40.0,43.0,40.0
