,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
86,68.0,63.0,68.0,68.0,70.0,61.0,68.0,68.0,67.0,64.0,71.0,69.0,68.0,71.0,65.0,68.0,69.0,71.0,66.0,71.0
87,69.0,64.0,69.0,69.0,71.0,62.0,68.0,68.0,67.0,65.0,72.0,70.0,68.0,72.0,65.0,69.0,70.0,71.0,67.0,72.0
88,69.0,64.0,70.0,70.0,71.0,62.0,69.0,69.0,68.0,66.0,72.0,71.0,69.0,73.0,66.0,70.0,71.0,72.0,67.0,73.0
89,69.0,65.0,71.0,71.0,72.0,63.0,69.0,70.0,68.0,67.0,73.0,72.0,70.0,73.0,67.0,71.0,71.0,72.0,68.0,74.0
90,70.0,66.0,72.0,72.0,73.0,64.0,70.0,70.0,69.0,68.0,74.0,72.0,71.0,74.0,67.0,72.0,72.0,73.0,68.0,74.0
91,70.0,67.0,72.0,72.0,74.0,65.0,71.0,71.0,70.0,69.0,75.0,73.0,72.0,75.0,68.0,73.0,72.0,74.0,69.0,75.0
92,71.0,67.0,73.0,73.0,75.0,65.0,72.0,72.0,70.0,69.0,76.0,74.0,73.0,76.0,69.0,73.0,73.0,74.0,70.0,75.0
93,72.0,68.0,74.0,74.0,75.0,66.0,73.0,73.0,71.0,70.0,76.0,74.0,74.0,77.0,69.0,74.0,74.0,75.0,71.0,76.0
94,73.0,69.0,74.0,75.0,76.0,67.0,74.0,74.0,72.0,71.0,77.0,75.0,75.0,78.0,70.0,75.0,74.0,76.0,72.0,76.0
95,73.0,69.0,75.0,76.0,77.0,67.0,75.0,75.0,72.0,71.0,78.0,75.0,75.0,79.0,71.0,76.0,75.0,77.0,73.0,77.0
96,74.0,70.0,76.0,77.0,78.0,68.0,76.0,76.0,73.0,72.0,78.0,76.0,76.0,80.0,72.0,76.0,75.0,78.0,74.0,78.0
97,75.0,71.0,77.0,77.0,79.0,68.0,76.0,77.0,73.0,72.0,79.0,77.0,76.0,80.0,72.0,77.0,76.0,79.0,74.0,78.0
98,76.0,72.0,78.0,78.0,80.0,69.0,77.0,78.0,74.0,73.0,80.0,77.0,77.0,81.0,73.0,78.0,76.0,80.0,75.0,79.0
99,77.0,73.0,79.0,79.0,81.0,70.0,78.0,79.0,75.0,73.0,81.0,78.0,77.0,82.0,74.0,79.0,77.0,81.0,75.0,79.0
100,78.0,74.0,79.0,79.0,82.0,71.0,79.0,80.0,76.0,73.0,81.0,78.0,78.0,83.0,74.0,80.0,77.0,81.0,76.0,79.0
