,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
21,20.0,20.0,20.0,19.0,19.0,19.0,16.0,17.0,20.0,18.0,18.0,18.0,19.0,19.0,20.0,18.0,19.0,20.0,20.0,20.0
22,21.0,20.0,20.0,20.0,20.0,19.0,17.0,18.0,21.0,19.0,19.0,19.0,20.0,20.0,21.0,19.0,20.0,21.0,21.0,21.0
23,22.0,21.0,21.0,21.0,21.0,20.0,18.0,19.0,22.0,20.0,20.0,20.0,21.0,21.0,22.0,20.0,20.0,22.0,22.0,22.0
24,23.0,22.0,22.0,22.0,22.0,21.0,19.0,20.0,23.0,20.0,21.0,20.0,22.0,22.0,23.0,21.0,21.0,23.0,23.0,23.0
25,24.0,23.0,22.0,23.0,23.0,22.0,20.0,21.0,24.0,21.0,22.0,21.0,23.0,23.0,24.0,22.0,21.0,24.0,24.0,24.0
26,25.0,24.0,23.0,24.0,23.0,23.0,21.0,22.0,24.0,22.0,23.0,21.0,24.0,24.0,25.0,23.0,22.0,25.0,25.0,25.0
27,26.0,25.0,24.0,25.0,24.0,24.0,22.0,22.0,25.0,23.0,24.0,22.0,25.0,25.0,25.0,24.0,23.0,26.0,26.0,26.0
28,27.0,26.0,25.0,26.0,25.0,25.0,23.0,23.0,26.0,24.0,25.0,23.0,26.0,25.0,26.0,25.0,24.0,27.0,27.0,27.0
29,28.0,27.0,25.0,27.0,26.0,26.0,23.0,24.0,27.0,25.0,26.0,24.0,27.0,26.0,27.0,26.0,25.0,28.0,28.0,28.0
30,28.0,28.0,26.0,28.0,27.0,27.0,24.0,25.0,28.0,26.0,27.0,25.0,28.0,27.0,28.0,27.0,26.0,29.0,29.0,29.0
31,29.0,28.0,27.0,29.0,28.0,28.0,25.0,26.0,29.0,27.0,28.0,26.0,29.0,28.0,29.0,28.0,27.0,30.0,30.0,30.0
32,30.0,29.0,28.0,30.0,29.0,29.0,26.0,27.0,30.0,28.0,28.0,27.0,30.0,29.0,30.0,29.0,28.0,31.0,31.0,31.0
33,31.0,30.0,28.0,31.0,30.0,30.0,27.0,28.0,31.0,29.0,29.0,27.0,31.0,30.0,31.0,30.0,29.0,32.0,32.0,32.0
34,32.0,31.0,29.0,32.0,31.0,31.0,28.0,29.0,31.0,30.0,30.0,28.0,32.0,31.0,32.0,31.0,30.0,33.0,33.0,33.0
35,33.0,32.0,30.0,33.0,32.0,31.0,29.0,30.0,32.0,30.0,31.0,29.0,33.0,32.0,33.0,31.0,31.0,34.0,34.0,34.0
36,34.0,33.0,31.0,34.0,33.0,32.0,29.0,30.0,33.0,31.0,32.0,30.0,34.0,33.0,34.0,32.0,32.0,34.0,35.0,35.0
37,35.0,34.0,32.0,35.0,34.0,33.0,30.0,31.0,34.0,32.0,33.0,31.0,35.0,34.0,35.0,33.0,33.0,35.0,36.0,36.0
38,36.0,35.0,33.0,36.0,35.0,34.0,31.0,32.0,35.0,33.0,34.0,32.0,35.0,35.0,36.0,34.0,34.0,36.0,37.0,37.0
39,37.0,35.0,34.0,37.0,36.0,34.0,32.0,33.0,35.0,33.0,35.0,33.0,36.0,35.0,36.0,35.0,35.0,37.0,38.0,38.0
40,37.0,36.0,34.0,38.0,37.0,35.0,33.0,34.0,36.0,34.0,35.0,34.0,37.0,36.0,37.0,36.0,36.0,37.0,39.0,39.0
41,38.0,37.0,35.0,39.0,38.0,36.0,34.0,35.0,37.0,35.0,36.0,35.0,38.0,37.0,38.0,37.0,37.0,38.0,40.0,40.0
42,39.0,38.0,36.0,40.0,38.0,37.0,35.0,36.0,38.0,36.0,37.0,36.0,39.0,38.0,39.0,38.0,38.0,39.0,41.0,41.0
43,40.0,38.0,37.0,41.0,39.0,38.0,36.0,37.0,39.0,37.0,38.0,37.0,40.0,39.0,40.0,39.0,39.0,39.0,42.0,42.0
44,41.0,39.0,38.0,42.0,40.0,39.0,37.0,38.0,40.0,38.0,39.0,38.0,41.0,40.0,40.0,40.0,40.0,40.0,42.0,43.0
45,42.0,40.0,39.0,43.0,41.0,40.0,38.0,39.0,41.0,39.0,40.0,39.0,42.0,41.0,41.0,41.0,41.0,41.0,43.0,43.0
46,42.0,41.0,40.0,44.0,42.0,40.0,39.0,40.0,42.0,40.0,41.0,39.0,43.0,42.0,42.0,42.0,41.0,41.0,44.0,44.0
47,43.0,42.0,41.0,44.0,42.0,41.0,40.0,41.0,43.0,41.0,42.0,40.0,44.0,42.0,43.0,42.0,42.0,42.0,45.0,44.0
48,44.0,43.0,41.0,45.0,43.0,42.0,41.0,42.0,44.0,42.0,43.0,41.0,45.0,43.0,44.0,43.0,43.0,42.0,46.0,45.0
49,45.0,44.0,42.0,46.0,44.0,43.0,42.0,43.0,45.0,43.0,44.0,42.0,46.0,44.0,45.0,43.0,44.0,43.0,47.0,46.0
50,46.0,45.0,43.0,47.0,45.0,44.0,43.0,44.0,46.0,44.0,45.0,43.0,47.0,45.0,46.0,44.0,45.0,44.0,48.0,47.0
51,47.0,46.0,44.0,48.0,46.0,45.0,44.0,44.0,46.0,45.0,46.0,44.0,48.0,46.0,47.0,44.0,45.0,45.0,49.0,48.0
52,48.0,47.0,45.0,49.0,47.0,46.0,45.0,45.0,47.0,45.0,47.0,44.0,49.0,47.0,48.0,45.0,46.0,46.0,50.0,49.0
53,49.0,48.0,46.0,50.0,48.0,47.0,46.0,46.0,48.0,46.0,48.0,45.0,50.0,48.0,49.0,46.0,47.0,47.0,51.0,50.0
54,50.0,49.0,47.0,51.0,49.0,48.0,47.0,47.0,49.0,46.0,49.0,46.0,51.0,49.0,49.0,47.0,48.0,48.0,51.0,51.0
55,51.0,50.0,48.0,51.0,50.0,49.0,48.0,48.0,49.0,47.0,50.0,47.0,51.0,50.0,50.0,47.0,49.0,49.0,52.0,52.0
56,52.0,51.0,49.0,52.0,51.0,50.0,49.0,49.0,50.0,48.0,51.0,48.0,52.0,51.0,51.0,48.0,50.0,49.0,53.0,53.0
57,53.0,51.0,49.0,53.0,51.0,51.0,50.0,50.0,51.0,49.0,52.0,49.0,53.0,52.0,52.0,49.0,51.0,50.0,54.0,54.0
58,54.0,52.0,50.0,54.0,52.0,52.0,51.0,51.0,51.0,50.0,53.0,50.0,54.0,53.0,53.0,50.0,52.0,51.0,55.0,55.0
59,55.0,53.0,51.0,54.0,53.0,53.0,51.0,52.0,52.0,51.0,54.0,51.0,55.0,54.0,54.0,51.0,53.0,52.0,56.0,56.0
60,56.0,54.0,52.0,55.0,54.0,53.0,52.0,53.0,53.0,52.0,55.0,52.0,56.0,55.0,55.0,52.0,54.0,53.0,57.0,57.0
61,57.0,55.0,52.0,56.0,55.0,54.0,53.0,54.0,54.0,52.0,56.0,53.0,57.0,56.0,56.0,52.0,55.0,54.0,58.0,58.0
62,58.0,56.0,53.0,57.0,56.0,55.0,54.0,55.0,55.0,53.0,57.0,54.0,58.0,56.0,57.0,53.0,56.0,55.0,59.0,59.0
63,59.0,57.0,54.0,57.0,57.0,56.0,55.0,56.0,56.0,54.0,58.0,55.0,59.0,57.0,58.0,54.0,57.0,55.0,60.0,60.0
